Spanish,English
que,what
de,from
no,not
a,to
la,the
el,the
es,it is
y,Y
en,on
lo,it
un,a
por,for
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,in order to
mi,me
está,this
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,you
aquí,here
del,of
al,to the
como,What
le,you
más,more
esto,this
ya,already
todo,everything
esta,is
vamos,go
muy,very
hay,there are
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,your
nada,nothing
cuando,when
ha,ha
este,this
sé,he
estás,are
así,So
puedo,may l
cómo,as
quiero,I want
sólo,alone
soy,I am
tiene,have
gracias,Thank you
o,or
él,he
bueno,well
fue,It was
ser,to be
hacer,make
son,They are
todos,everyone
era,it was
eres,are
vez,time
tienes,do you have
creo,I think
ella,her
he,I
ese,that
voy,I go
puede,can
sabes,you know
hola,Hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,was
mejor,best
están,is it so
va,he
hombre,man
usted,you
mucho,a lot of
hace,makes
entonces,then
siento,I feel
tenemos,have
puedes,you may
ahí,there
ti,you
vida,lifetime
ver,watch
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,oh
ir,to go
cosas,things
también,also
antes,before
has,you
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,speak
seguro,insurance
claro,Sure
estas,these
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,later
momento,moment
desde,since
fuera,outside
cosa,thing
tipo,kind
mañana,morning
podemos,we can
dije,said
gran,great
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,father
tener,to have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
